title,url,category,final_score,impact,scale,potential,legacy,novelty,credibility,positivity
Biden Says U.S. Forces Would Defend Taiwan If China Invaded,https://www.huffpost.com/entry/biden-us-forces-defend-taiwan-against-china_n_6327ec68e4b0ed021dfe3695,POLITICS,6.7,7,8,8,6,5,7,3
‘Beautiful And Sad At The Same Time’: Ukrainian Cultural Festival Takes On A Deeper Meaning This Year,https://www.huffpost.com/entry/ukraine-festival_n_6327b4a0e4b082746beb52c7,POLITICS,4.2,4,4,5,3,4,8,5
Biden Says Queen's Death Left 'Giant Hole' For Royal Family,https://www.huffpost.com/entry/europe-britain-royals-biden_n_63276eabe4b046aa02406a13,POLITICS,4.0,3,4,3,6,3,7,5
Bill To Help Afghans Who Escaped Taliban Faces Long Odds In The Senate,https://www.huffpost.com/entry/afghan-adjustment-act-congress_n_6324ad6ee4b027aa4065ebef,POLITICS,3.8,3,4,4,3,4,7,5
Mark Meadows Complies With Justice Dept. Subpoena: Report,https://www.huffpost.com/entry/capitol-riot-investigation-mark-meadows_n_63235733e4b000d988594a5d,POLITICS,4.5,4,4,5,5,5,7,2
Democrats Nominate Seth Magaziner In Key Rhode Island House Race,https://www.huffpost.com/entry/seth-magaziner-wins-rhode-island-democratic-primary-us-house_n_632118d0e4b082746be47a33,POLITICS,2.3,2,2,2,1,2,8,6
Joe Biden Urges National Unity In Speech On Renewed ‘Cancer Moonshot’,https://www.huffpost.com/entry/biden-cancer-moonshot_n_631fc93be4b027aa405e7ac5,POLITICS,7.6,6,8,8,7,6,8,9
Sen. Tim Scott Downplays Electability Concerns Over Struggling Senate GOP Candidates,https://www.huffpost.com/entry/tim-scott-senate-republicans-november-election_n_631ef3a4e4b027aa405d4f5e,POLITICS,3.5,4,4,3,2,3,7,4
Electability Is On The Ballot In Key Rhode Island House Primary,https://www.huffpost.com/entry/democratic-primary-rhode-island-retiring_n_631d6772e4b0eac9f4d81d5a,POLITICS,2.6,2,2,3,1,3,7,5
"In A Nod To JFK, Joe Biden Pushing 'Moonshot' To Fight Cancer",https://www.huffpost.com/entry/biden-moonshot-cancer-speech_n_631f337ee4b082746be1d2bf,POLITICS,7.8,7,8,8,7,6,7,8
"Biden Honors 9/11 Victims, Vows Commitment To Thwart Terror",https://www.huffpost.com/entry/sept-11-anniversary-biden_n_631e6071e4b027aa405cf306,POLITICS,3.9,4,4,3,5,2,7,5
"US, Trump Team Propose Names For Arbiter In Mar-A-Lago Probe",https://www.huffpost.com/entry/doj-trump-team-propose-candidates-for-special-master-in-mar-a-lago-probe_n_631bed8be4b0ed021df2bd38,POLITICS,3.9,4,4,5,3,3,7,2
"Politician's DNA Connected To Las Vegas Journalist’s Murder, Police Say",https://www.huffpost.com/entry/clark-county-official-robert-telles-dna-las-vegas-journalist-murder_n_631a51dbe4b000d9884f1cf4,POLITICS,3.8,4,4,3,3,4,7,2
Michigan Supreme Court Revives Abortion Rights Amendment For November's Ballot,https://www.huffpost.com/entry/michigan-abortion-amendment-supreme-court-november-ballot_n_63191369e4b046aa0230bd0e,POLITICS,4.2,4,4,5,4,3,7,6
Portland Residents With Disabilities Sue Over City's Blocked Sidewalks,https://www.huffpost.com/entry/portland-disabled-lawsuit-blocked-sidewalks_n_631a741fe4b046aa0232f7c6,POLITICS,2.6,2,2,3,2,3,7,3
The Unemployment Insurance System Is Not Ready For The Next Recession,https://www.huffpost.com/entry/unemployment-benefits-recession_n_6317aa40e4b0faa556c1c634,POLITICS,4.5,5,4,6,4,3,8,3
Michigan Secretary of State Worried About ‘Violence And Disruption’ Going Into Midterms,https://www.huffpost.com/entry/michigan-jocelyn-benson-election-midterms_n_63158ff2e4b0682ad3d22355,POLITICS,3.9,4,4,5,3,3,7,3
Uvalde Fourth Graders Waited An Hour With Wounded Teacher,https://www.huffpost.com/entry/bc-us-texas-school-shooting-teachers_n_631644f7e4b0ed021dea6f3b,POLITICS,3.5,4,2,3,5,3,8,2
Trump-Endorsed Wisconsin Gubernatorial Candidate Tells Voters To Take Up Pitchforks,https://www.huffpost.com/entry/wisconsin-trump-tim-michels-pitchforks-anti-abortion-anti-gay_n_63142462e4b0682ad3d1a6c3,POLITICS,3.4,4,4,3,2,3,6,3
Former White House Counsel Pat Cipollone To Testify Before Grand Jury: Reports,https://www.huffpost.com/entry/pat-cipollone-jan-6-grand-jury_n_6311c619e4b07d96a24d2ae8,POLITICS,4.4,4,4,5,5,4,7,3
